丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[9]	А基[45]	А基[180]
101200	58.1	58.1	58.1	58.1	1	0	0	0
101500	58.1	58.1	58.1	58.1	1	0	0	0
101700	58.1	58.1	58.1	58.1	1	0	0	0
101900	58.1	58.1	58.1	58.1	2	0	0	0
102000	58.1	58.1	58.1	58.1	2	0	0	0
102100	58.1	58.1	58.1	58.1	7	0	0	0
102200	58.1	58.1	58.1	58.1	9	0	0	0
102300	58.1	58.1	58.1	58.1	1	0	0	0
102500	58.1	58.1	58.1	58.1	3	58.1	0	0
102600	58.1	58.1	58.1	58.1	3	58.1	0	0
102800	58.1	58.1	58.1	58.1	4	58.1	0	0
103000	58.1	58.1	58.1	58.1	1	58.1	0	0
103200	58.1	58.1	58.1	58.1	1	58.1	0	0
104000	58.1	58.1	58.1	58.1	1	58.1	0	0
104100	58.1	58.1	58.1	58.1	2	58.1	0	0
104300	58.1	58.1	58.1	58.1	2	58.1	0	0
104400	58.1	58.1	58.1	58.1	2	58.1	0	0
105000	58.1	58.1	58.1	58.1	1	58.1	0	0
105600	58.1	58.1	58.1	58.1	5	58.1	0	0
105700	58.1	58.1	58.1	58.1	6	58.1	0	0
110300	58.1	58.1	58.1	58.1	1	58.1	0	0
110800	58.1	58.1	58.1	58.1	1	58.1	0	0
110900	58.1	58.1	58.1	58.1	6	58.1	0	0
111600	58.1	58.1	58.1	58.1	2	58.1	0	0
111900	58.1	58.1	58.1	58.1	1	58.1	0	0
112000	58.1	58.1	58.1	58.1	1	58.1	0	0
112200	58.1	58.1	58.1	58.1	1	58.1	0	0
112600	58.1	58.1	58.1	58.1	1	58.1	0	0
113000	58.1	58.1	58.1	58.1	1	58.1	0	0
113300	58.1	58.1	58.1	58.1	1	58.1	0	0
114300	58.1	58.1	58.1	58.1	1	58.1	0	0
114600	58.1	58.1	58.1	58.1	2	58.1	0	0
115700	58.1	58.1	58.1	58.1	1	58.1	0	0
120500	58.1	58.1	58.1	58.1	1	58.1	0	0
121100	58.1	58.1	58.1	58.1	1	58.1	0	0
121300	58.1	58.1	58.1	58.1	1	58.1	0	0
121400	58.1	58.1	58.1	58.1	5	58.1	0	0
122500	58.1	58.1	58.1	58.1	1	58.1	0	0
122700	58.1	58.1	58.1	58.1	3	58.1	0	0
123900	58.1	58.1	58.1	58.1	1	58.1	0	0
124800	58.1	58.1	58.1	58.1	1	58.1	0	0
125100	58.1	58.1	58.1	58.1	10	58.1	0	0
125200	58.1	58.1	58.1	58.1	1	58.1	0	0
125400	58.1	58.1	58.1	58.1	1	58.1	0	0
125800	58.1	58.1	58.1	58.1	1	58.1	58.1	0
130600	58.1	58.1	58.1	58.1	1	58.1	58.1	0
130700	58.1	58.1	58.1	58.1	3	58.1	58.1	0
130800	58.1	58.1	58.1	58.1	2	58.1	58.1	0
130900	58.1	58.1	58.1	58.1	1	58.1	58.1	0
131600	58.1	58.1	58.1	58.1	1	58.1	58.1	0
132100	58.1	58.1	58.1	58.1	1	58.1	58.1	0
132200	58.1	58.1	58.1	58.1	1	58.1	58.1	0
133000	58.1	58.1	58.1	58.1	14	58.1	58.1	0
90000	59.1	59.2	59.1	59.2	476	58.22◆	58.13◆	0
90100	59.3	59.3	59.3	59.3	223	58.36◆	58.15◆	0
90200	59	59	58.2	58.5	319	58.40◆	58.16◆	0
90300	58.2	58.5	58.2	58.3	124	58.42◆	58.17◆	0
90400	58.1	58.1	57.1	57.1	200	58.31□	58.14□	0
90500	57.2	57.7	57.2	57.7	27	58.27□	58.13□	0
90600	58.1	58.1	58	58	62	58.26□	58.13□	0
90700	58.2	58.3	58	58	54	58.25□	58.13□	0
