丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[9]	А基[45]	А基[180]
123000	63.1	63.1	62.6	62.6	142	0	0	0
130000	62.6	63	62.5	63	273	0	0	0
133000	63	63.2	62	62	1036	0	0	0
93000	63	64.3	62.6	63.8	1854	0	0	0
100000	63.6	64	63.1	63.5	667	0	0	0
103000	63.6	63.6	63.2	63.5	282	0	0	0
110000	63.5	63.6	63.4	63.4	194	0	0	0
113000	63.4	64	63.1	63.7	354	0	0	0
120000	63.8	64	63.5	63.5	141	63.22	0	0
123000	63.5	63.6	62.9	63.1	332	63.28◆	0	0
130000	63.1	63.7	63	63.6	280	63.35◆	0	0
133000	63.6	63.6	63	63.6	553	63.52◆	0	0
93000	63.5	64.3	62.5	64	1361	63.55◆	0	0
100000	63.9	64.2	63.1	63.4	365	63.53□	0	0
103000	63.4	63.5	63.3	63.3	123	63.51□	0	0
110000	63.4	63.4	62.6	63.3	257	63.50□	0	0
113000	63	63.5	63	63.5	106	63.48□	0	0
120000	63.5	63.5	62.9	63.2	116	63.45□	0	0
123000	63.2	63.3	63	63	179	63.43□	0	0
130000	63	63.1	62	62.4	825	63.30□	0	0
133000	62.3	62.6	61.8	62	845	63.12□	0	0
93000	63	64.3	62.5	64.2	1803	63.15◆	0	0
100000	64.3	65	63.8	64.5	1385	63.27◆	0	0
103000	64.5	64.5	63.7	63.8	414	63.32◆	0	0
110000	63.9	64	63.7	63.8	135	63.38◆	0	0
113000	63.8	64	63.7	63.7	202	63.40◆	0	0
120000	63.7	63.8	63.3	63.7	235	63.46◆	0	0
123000	63.7	63.7	63.4	63.5	99	63.51◆	0	0
130000	63.5	63.6	63.2	63.2	298	63.60◆	0	0
133000	63.3	63.8	63.1	63.8	444	63.80◆	0	0
93000	64	68.1	64	68	4269	64.22◆	0	0
100000	68	68.2	67.9	68.2	2296	64.63◆	0	0
103000	68.2	68.2	68.2	68.2	126	65.12◆	0	0
110000	68.2	68.2	68.2	68.2	69	65.61◆	0	0
113000	68.2	68.2	68.2	68.2	82	66.11◆	0	0
120000	68.2	68.2	68.2	68.2	31	66.61◆	0	0
123000	68.2	68.2	68.2	68.2	39	67.13◆	0	0
130000	68.2	68.2	68.2	68.2	35	67.69◆	0	0
133000	68.2	68.2	68.2	68.2	79	68.18◆	0	0
93000	70	70.7	68.5	69.2	5112	68.31◆	0	0
100000	69.2	70.7	69	70.7	1131	68.59◆	0	0
103000	71	72.9	71	72.4	1997	69.06◆	0	0
110000	72.4	72.5	71	71.3	596	69.40◆	0	0
113000	71.3	71.8	71.3	71.6	270	69.78◆	0	0
120000	71.6	72	71.6	71.7	267	70.17◆	65.38	0
123000	71.6	71.7	69.1	70	1052	70.37◆	65.55◆	0
130000	70.1	70.1	68.5	69.5	1071	70.51◆	65.69◆	0
133000	69.5	69.5	68.4	68.6	1137	70.56◆	65.84◆	0
93000	65.6	68	65.6	67.4	2517	70.36□	65.92◆	0
100000	67.4	67.4	66.1	67.4	1130	69.99□	66.00◆	0
103000	67.4	68.1	67	67.9	602	69.49□	66.10◆	0
110000	67.9	67.9	67	67.4	304	69.06□	66.19◆	0
113000	67.3	67.4	66.8	67.1	276	68.56□	66.27◆	0
120000	67.1	67.4	67.1	67.3	155	68.07□	66.35◆	0
123000	67.3	67.4	67	67.2	175	67.76□	66.44◆	0
130000	67	67.2	66.6	67.1	523	67.49□	66.52◆	0
133000	67	67.3	66.7	66.7	762	67.28□	66.59◆	0
93000	68	69.6	67.5	69	1894	67.46◆	66.70◆	0
100000	68.8	69.6	68.2	68.4	798	67.57◆	66.81◆	0
103000	68.4	69.2	68.4	68.6	270	67.65◆	66.93◆	0
110000	68.6	69.1	68.3	69	219	67.82◆	67.05◆	0
